Wall time,Step,Value
1747123925.616634,90319,2.396146059036255
1747123980.5203927,90459,2.4097416400909424
1747124003.6572387,90519,2.3716442584991455
1747124035.6256616,90599,2.456521511077881
1747124066.7394228,90679,2.46061635017395
1747124074.6823735,90699,2.43937349319458
1747124278.5063415,91059,2.483889102935791
1747124294.1310453,91099,2.535907745361328
1747124325.4498398,91179,2.289349317550659
1747124372.1940205,91299,2.375603199005127
1747124434.5924923,91459,2.382291793823242
1747124513.1839828,91659,2.3548128604888916
1747124623.8857749,91939,2.2730579376220703
1747124647.7902176,91999,2.3111579418182373
1747124671.0940962,92059,2.3308980464935303
1747125017.397127,92779,2.3646233081817627
1747125056.9908123,92879,2.277925729751587
1747125088.124528,92959,2.286540985107422
1747125095.964987,92979,2.46826171875
1747125119.57818,93039,2.470182180404663
1747125159.2673984,93139,2.6233794689178467
1747125245.4735327,93359,2.3283979892730713
1747125307.6766367,93519,2.3816511631011963
1747125339.1842394,93599,2.4724082946777344
1747125354.7384346,93639,2.4020655155181885
1747125401.8132904,93759,2.3684041500091553
1747125519.2003503,93899,2.4170093536376953
1747125527.025405,93919,2.352041244506836
1747125573.8386629,94039,2.3584089279174805
1747125597.4094434,94099,2.355168581008911
1747125706.7906284,94379,2.48108172416687
1747125761.498054,94519,2.418747663497925
1747125933.8738904,94959,2.270310163497925
1747125990.1610234,95099,2.5044074058532715
1747126037.0339649,95219,2.280447483062744
1747126068.1371818,95299,2.4085381031036377
1747126138.4602969,95318,2.4043784141540527
1747126232.5901556,95559,2.298924207687378
1747126343.4323792,95839,2.588259220123291
1747126366.942949,95899,2.3522324562072754
1747126390.7881072,95959,2.3744003772735596
1747126406.2166822,95999,2.4702131748199463
1747126422.3745341,96039,2.321824312210083
1747126547.1167247,96359,2.5541257858276367
1747126562.6286764,96399,2.4595251083374023
1747126578.3198566,96439,2.3365142345428467
1747126586.2126267,96459,2.2334115505218506
1747126594.0053904,96479,2.49485445022583
1747126649.4051268,96619,2.308894634246826
1747126657.2344623,96639,2.5573487281799316
1747126853.2743676,96979,2.462721109390259
1747127010.368481,97379,2.3195886611938477
1747127111.7008271,97639,2.2728586196899414
1747127212.876262,97899,2.5621018409729004
1747127228.932366,97939,2.3837664127349854
1747127377.1028354,98319,2.4576687812805176
1747127463.47944,98379,2.4402577877044678
1747127518.6608965,98519,2.37068510055542
